traffic,cb_v1,cv_v2,cv_v3,retry,interval,start,end
70,1,1,1,2,25ms,1678518960327,1678519020326
70,1,1,1,2,50ms,1678519020575,1678519080577
70,1,1,1,5,1ms,1678519080833,1678519140838
70,1,1,1,5,25ms,1678519141090,1678519201091
70,1,1,1,5,50ms,1678519201358,1678519261365
70,1,1,50,1,1ms,1678519261863,1678519321869
70,1,1,50,1,25ms,1678519322124,1678519382130
70,1,1,50,1,50ms,1678519382391,1678519442398
70,1,1,50,2,1ms,1678519442657,1678519502657
70,1,1,50,2,25ms,1678519502900,1678519562906
70,1,1,50,2,50ms,1678519563170,1678519623175
70,1,1,50,5,1ms,1678519623433,1678519683442
70,1,1,50,5,25ms,1678519683709,1678519743708
70,1,1,50,5,50ms,1678519743952,1678519803950
70,1,1,1000,1,1ms,1678519804447,1678519864450
70,1,1,1000,1,25ms,1678519864699,1678519924698
70,1,1,1000,1,50ms,1678519924956,1678519984964
70,1,1,1000,2,1ms,1678519985223,1678520045226
70,1,1,1000,2,25ms,1678520045491,1678520105492
70,1,1,1000,2,50ms,1678520105762,1678520165764
70,1,1,1000,5,1ms,1678520166017,1678520226025
70,1,1,1000,5,25ms,1678520226277,1678520286314
70,1,1,1000,5,50ms,1678520286574,1678520346584
70,1,50,1,1,1ms,1678520347315,1678520407318
70,1,50,1,1,25ms,1678520407563,1678520467566
70,1,50,1,1,50ms,1678520467819,1678520527828
70,1,50,1,2,1ms,1678520528084,1678520588089
70,1,50,1,2,25ms,1678520588333,1678520648336
70,1,50,1,2,50ms,1678520648592,1678520708601
70,1,50,1,5,1ms,1678520708852,1678520768857
70,1,50,1,5,25ms,1678520769106,1678520829110
70,1,50,1,5,50ms,1678520829352,1678520889361
70,1,50,50,1,1ms,1678520889865,1678520949869
70,1,50,50,1,25ms,1678520950128,1678521010137
70,1,50,50,1,50ms,1678521010383,1678521070389
70,1,50,50,2,1ms,1678521070642,1678521130649
70,1,50,50,2,25ms,1678521130893,1678521190900
