traffic,retry_attempt,retry_interval,cb,pc_succ_req,pc_fail_req,pc_cb_req,pc_c_rt,f_succ_req,f_fail_req,f_cb_req,f_c_rt
19,1,0.001,50,56.2,9.2,0.0,0.03217592592592586,8.6,9.6,0,0.0975
19,1,0.001,50,76.0,8.8,0.0,0.024653124999999994,8.6,8.0,0,0.09402777777777778
19,1,0.001,50,64.6,9.8,0.0,0.027499999999999986,8.2,9.8,0,0.09375
19,1,0.001,50,74.8,9.2,0.0,0.029880952380952338,7.4,9.0,0,0.094875
19,1,0.001,50,76.0,8.0,0.0,0.024872159090909073,11.2,7.3999999999999995,0,0.09349999999999999
19,1,0.001,50,63.8,8.6,0.0,0.03222222222222223,9.6,8.2,0,0.09861111111111111
19,1,0.001,50,56.0,7.8,0.0,0.03164999999999999,8.4,9.0,0,0.09523809523809525
19,1,0.001,50,77.6,10.4,0.0,0.03370535714285714,8.4,9.6,0,0.1
19,1,0.001,50,58.0,9.8,0.0,0.030480769230769124,8.6,9.4,0,0.09232142857142858
19,1,0.001,500,65.8,8.8,0.0,0.033588709677419296,8.8,10.0,0,0.09725
19,1,0.001,500,70.8,8.6,0.0,0.029739583333333257,9.2,8.6,0,0.09661764705882352
19,1,0.001,500,82.8,8.4,0.0,0.024888297872340422,9.6,8.0,0,0.15625000000000008
19,1,0.001,500,75.0,11.0,0.0,0.031874999999999966,12.4,9.4,0,0.09666666666666665
19,1,0.001,500,66.8,7.199999999999999,0.0,0.031249999999999944,8.0,9.799999999999999,0,0.09731481481481483
19,1,0.001,500,66.8,10.0,0.0,0.030694444444444458,9.6,8.4,0,0.09411764705882353
19,1,0.001,500,68.4,9.0,0.0,0.030312499999999964,6.6,9.4,0,0.095
19,1,0.001,500,64.8,12.2,0.0,0.03694767441860464,8.6,12.8,0,0.0975
19,1,0.001,500,80.8,8.2,0.0,0.03529166666666663,7.6,8.0,0,0.094375
19,1,0.001,500,61.0,7.0,0.0,0.03312500000000005,11.6,7.4,0,0.09673076923076923
19,1,0.001,500,68.0,9.0,0.0,0.02698529411764703,6.4,9.4,0,0.10374999999999959
19,1,0.001,500,66.2,9.0,0.0,0.03610294117647058,9.4,7.6,0,0.09583333333333333
19,1,0.001,500,77.8,8.4,0.0,0.024901098901098897,8.6,9.799999999999999,0,0.09397058823529411
19,1,0.001,500,62.2,9.6,0.0,0.030791666666666672,11.0,8.4,0,0.09413043478260869
19,1,0.001,500,77.6,8.4,0.0,0.02690476190476194,8.4,9.399999999999999,0,0.09694444444444446
19,1,0.001,500,78.4,9.0,0.0,0.02915000000000005,10.2,7.4,0,0.09447916666666666
19,1,0.001,500,79.0,10.0,0.0,0.029230769230769036,10.6,11.6,0,0.09852272727272725
19,1,0.001,500,81.0,10.8,0.0,0.02505434782608706,11.4,9.2,0,0.09593750000000001
19,1,0.001,500,79.0,8.6,0.0,0.03279411764705876,11.2,10.2,0,0.09880434782608694
19,1,0.001,500,74.8,12.0,0.0,0.025989583333333323,9.8,11.2,0,0.09490384615384614
19,1,0.001,500,55.4,6.6,0.0,0.024928571428571435,6.8,8.200000000000001,0,0.15499999999999997
19,1,0.001,500,65.2,9.2,0.0,0.024673076923076905,10.0,5.8,0,0.0968421052631579
19,1,0.001,500,78.0,10.0,0.0,0.029953703703703732,9.0,13.0,0,0.09475
19,1,0.001,500,73.6,10.4,0.0,0.030336538461538404,9.8,8.2,0,0.09481481481481481
19,1,0.001,500,82.8,8.8,0.0,0.03129629629629624,9.2,9.8,0,0.0996590909090909
19,1,0.001,1000,64.0,10.4,0.0,0.03032608695652175,8.2,8.8,0,0.09532608695652176
19,1,0.001,1000,75.0,10.0,0.0,0.024782499999999996,10.2,11.0,0,0.096625
19,1,0.001,1000,62.4,8.6,0.0,0.02422256097560976,8.4,8.8,0,0.09153846153846151
19,1,0.001,1000,67.4,8.2,0.0,0.034687499999999934,8.4,9.0,0,0.097
19,1,0.001,1000,77.4,7.0,0.0,0.024527397260273965,11.8,8.4,0,0.09459999999999999
19,1,0.001,1000,74.8,6.4,0.0,0.02454999999999998,9.8,7.0,0,0.14687499999999995
19,1,0.001,1000,70.0,11.0,0.0,0.027065217391304325,10.2,7.800000000000001,0,0.09333333333333332
19,1,0.001,1000,67.8,4.800000000000001,0.0,0.031086956521739085,8.6,8.0,0,0.09687499999999998
19,1,0.001,1000,73.4,10.0,0.0,0.024607558139534882,9.0,7.6,0,0.12750000000000022
19,1,0.001,1000,74.2,9.4,0.0,0.030249999999999985,9.4,9.4,0,0.09960526315789474
19,1,0.001,1000,73.6,15.4,0.0,0.030937499999999937,11.0,12.200000000000001,0,0.09634615384615385
19,1,0.001,1000,84.0,9.2,0.0,0.03420454545454547,8.0,13.4,0,0.09555555555555556
19,1,0.001,1000,71.6,10.6,0.0,0.026413043478260966,11.2,7.2,0,0.09352272727272727
19,1,0.001,1000,82.2,7.4,0.0,0.028124999999999973,9.4,11.399999999999999,0,0.09588235294117645
19,1,0.001,1000,65.2,8.2,0.0,0.024742537313432834,10.4,6.3999999999999995,0,0.09645833333333334
19,1,0.001,1000,73.2,10.0,0.0,0.025178571428571436,9.4,10.8,0,0.095
19,1,0.001,1000,58.4,11.399999999999999,0.0,0.02886904761904758,7.2,8.8,0,0.09510416666666666
19,1,0.001,1000,68.6,8.2,0.0,0.02920454545454537,7.8,10.0,0,0.09433333333333334
19,1,0.001,1000,63.4,12.0,0.0,0.026250000000000044,9.0,9.8,0,0.09644736842105263
19,1,0.001,1000,79.4,9.6,0.0,0.0313425925925926,8.2,11.6,0,0.1474999999999999
19,1,0.001,1000,73.0,8.600000000000001,0.0,0.02403684210526317,9.2,10.2,0,0.09359375
19,1,0.001,1000,82.0,7.4,0.0,0.03125,10.2,8.0,0,0.09842105263157894
19,1,0.001,1000,68.8,8.0,0.0,0.024882530120481944,11.2,6.2,0,0.09499999999999999
19,1,0.001,1000,74.2,9.399999999999999,0.0,0.02462921348314607,8.2,9.4,0,0.09977272727272725
19,1,0.001,1000,72.4,8.600000000000001,0.0,0.02440937499999999,10.4,8.2,0,0.09324999999999999
19,1,0.005,1,102.4,0.2,3.6,0.006897058823529425,17.2,3.0,0,0.05249999999999973
19,1,0.005,1,88.6,1.6,3.8,0.004898443579766536,12.6,4.8,0,0.04834239130434783
19,1,0.005,1,96.8,0.0,2.8,0.004975621890547265,16.2,4.4,0,0.048962264150943395
19,1,0.005,1,91.4,1.4,2.8,0.0049609657947686115,15.4,4.0,0,0.11312499999999974
19,1,0.005,1,104.8,0.8,4.0,0.006611111111111135,15.4,4.4,0,0.0654166666666667
19,1,0.005,1,88.6,1.2000000000000002,2.8,0.006616666666666666,14.8,3.8,0,0.04880102040816327
19,1,0.005,1,109.6,1.2000000000000002,4.0,0.004928193832599119,16.8,4.8,0,0.04864754098360656
19,1,0.005,1,90.8,2.2,2.6,0.005068181818181885,13.8,5.6000000000000005,0,0.05312500000000004
19,1,0.005,1,97.2,0.2,3.0,0.010107142857142913,13.8,2.0,0,0.04916666666666667
19,1,0.005,1,73.0,0.6000000000000001,1.6,0.004914492753623188,13.4,2.6,0,0.07
19,1,0.005,1,103.8,0.4,1.4,0.004933173076923078,16.6,2.8,0,0.04914473684210526
19,1,0.005,1,98.8,1.6,4.0,0.004902857142857142,13.4,4.4,0,0.078125
19,1,0.005,1,88.4,0.2,2.8,0.004996618357487922,14.2,3.8,0,0.04927499999999999
19,1,0.005,1,79.8,2.4,3.2,0.004981531531531532,13.0,5.0,0,0.08333333333333323
19,1,0.005,1,81.4,1.0,1.4,0.008300000000000007,15.0,2.6,0,0.049175531914893614
19,1,0.005,1,92.6,2.0,3.4,0.004921854304635762,13.6,4.6,0,0.048651960784313726
19,1,0.005,1,93.0,0.4,2.0,0.00811111111111109,13.8,3.2,0,0.04968085106382979
19,1,0.005,1,89.2,1.2000000000000002,2.6,0.00493487297921478,15.6,3.6,0,0.049130434782608694
19,1,0.005,1,102.6,0.0,3.2,0.004959825327510917,17.2,4.0,0,0.049942307692307696
19,1,0.005,1,86.4,2.2,2.2,0.004957421875,12.8,3.6,0,0.048856382978723405
19,1,0.005,1,94.4,0.6000000000000001,2.2,0.0071999999999999495,16.0,3.4,0,0.049949999999999994
19,1,0.005,1,89.2,1.8,2.6,0.004971255060728746,14.2,3.4000000000000004,0,0.06916666666666668
